ANTID,TNS_Name,Spec_Class
ANT2022ceqrg,2022fpx,TDE
ANT20220dwjx039h87j,2022gzi,SN IIn
ANT20231cmvku2jk9km,2023nwe,SN IIn
ANT2023e1lh9q8uxs5f,2023kvy,TDE
ANT2023y21nst8gdfc7,2023ofr,---
ANT2023byuqr59hijb2,2023sed,SN Ia
ANT2023bqv4h7binyq4,2023oom,Nova
ANT2023amn3rvksixa0,2023syt,---
ANT2023cyi2godtxc71,2023nof,SN IIn
ANT2023s3t38221rbvu,2023tnr,---
ANT20238op8zb9u71zv,2023myo,SN IIb
ANT2023e1lh9q8uxs5f,2023kvy,TDE
ANT2023byuqr59hijb2,2023sed,SN Ia
ANT20237t0muacesncb,2023otw,SN II
ANT2023z76ezy3vpy8s,2023iex,SN IIn
ANT2023daxrlgp15b5l,2023tdy,---
ANT2023t7ysju3gaa9q,2023swf,SN II
ANT20237mh30j6oqsed,2023tim,---
ANT2023txj5k3uoboi5,2023tjc,---
ANT2023ta2iok62g5a1,2023mne,---
ANT2023h83zxabii7n5,2023tcq,---
ANT2023cono5416eok0,2023sws,---
ANT2023kegapcztaz9y,2023gzn,---
ANT2023z0zr3w2y9pd6,2023nlj,SN Ib
ANT2023c2iwlmhru786,2023she,---
ANT2023hetwfp10g9rj,2023mcs,SN Ia
ANT2023ricgc0121bqc,2023koq,SLSN-II
ANT2023g4d408sosxuu,2023pdf,---
ANT20237q5l6jfknzm9,2023tsa,---
ANT20233ftyq1igcyyq,2023sap,---
ANT20232chi4nt189lp,2023nwk,---
ANT2023be7zi9tsl2a0,2023jdh,SN IIn
ANT2023xntoizusku8l,2023tsw,SN Ia
ANT2023l2dqxytm4lyh,2023puf,---
ANT2023q8o3r5pqxlrm,2023sds,---
ANT20236lnkr6zif1pv,2023mic,---
ANT2023k4niot9ojjs2,2023ocx,SN Ia-CSM
ANT20234hadr3mv1nfu,2023ggb,SN Ia-CSM
ANT2023lihtiuw98ua5,2023tpk,---
ANT2023xqpj3in34s43,2023vqn,SN Ia
ANT2023dy5xtvp852rf,2023hlu,SN Ib
ANT20239bssj0updb1s,2023vyw,SN Ia
ANT20231czpk0thmfdt,2023vtp,SN Ia-91T-like
ANT2023udqfunzuzaw0,2023frl,---
ANT2023808cm5ckbg5a,2023psx,---
ANT2023w926ux8ekm12,2023zro,---
ANT2023g7q1x5umog7s,2023omf,SN IIn
ANT2023w3kmh4qy4er7,2023tmd,---
ANT2023oftqku6mmrpi,2023qwe,SN II
ANT2023oelv52jpvw05,2023znp,---
ANT2023ksdq0940dttt,2023uvh,SN IIb
ANT2023jpayer2ifkpz,2023nly,SN II
ANT2023rz0dsqlkc5we,2023jvc,SN II
ANT2023i70dcomegjvk,2023aagw,---
ANT2023ec9859oz0v6j,2023khp,SN Ia-CSM
ANT2023jojy43u3lkrf,2023nie,---
ANT20235yn0yg524chk,2023zkd,---
ANT2023b8sh5joub4xb,2023jpg,SN II
ANT2023wpcd7rf4w36r,2023jwb,SN IIn
ANT2023f7sqf2fm2zyo,2023zgo,AGN
ANT20237jd1js3dn3av,2023xob,SN IIn
ANT2023frit04g8mizb,No TNS,---
ANT2023jv3c7jtdg329,2023jux,SN IIn
ANT2024lxtae7968qun,2024kt,---
