ANTID,TNS_Name,Spec_Class
ANT2020bgmri,2019cgt,---
ANT2020bfe7w,2019ljr,---
ANT2021o7r74,2021pcj,---
ANT2020bargs,2020ur,---
ANT2020hcaq,2018lns,---
ANT2020aegc4,2021rfc,---
ANT2021joqdi,2021ahps,---
ANT2019z6lys,2019aasd,---
ANT2020a5m34,2021ila,---
ANT2020aju42,2021hod,---
ANT2020bm56q,2020afby,---
ANT2020ath74,2019jww,---
ANT2020sjpvk,2019qpi,---
ANT2020ajruo,2020atw,---
ANT2020i6mq,2021lyx,---
ANT2020jacvu,2021qkw,---
ANT2023be7zi9tsl2a0,2023jdh,SN IIn
ANT2020cuva,2021fmn,---
ANT2021rms6g,2021rjf,---
ANT2020ankw4,2021tqi,---
ANT2022ceqrg,2022fpx,TDE
ANT2024bdn7kun3ps2l,2024goh,---
ANT2022fnmby32fjz50,2022aerw,---
ANT2020aew2tjq,2020adfm,---
ANT2020aj5rs,2019xgg,---
ANT2020biwgm,2021aazl,---
ANT20242zizq2pnec79,2024bcm,SN IIn
ANT2024lhmz7ns2z8tw,2024gry,SN Ib
ANT2020eyzbc,2017fwu,---
ANT2024ii39eh2cgvrq,2024fof,SN IIn
ANT20225k4xe8bc61bx,2022rze,SN IIn
ANT2023wpcd7rf4w36r,2023jwb,SN IIn
ANT202435buo3dm7dda,2024dkt,SN Ia
ANT2024etiqi2lvvy2g,2024igq,---
ANT2024tgvkdxfr0xq3,2024cui,SN IIn
ANT2024awt60q52ijm5,2024ios,---
ANT2021j6vn2,2021jru,---
ANT20223n6lqzwa0fwf,2019upn,---
ANT20223n6lqzwa0fwf,---,---
ANT2018evu5e,2019qgd,---
ANT2024dvq8k5ah5y1o,2023acmb,---
ANT2020jbk3w,2017jky,---
ANT2020bgbp4,2017exm,---
ANT2024qy9q5fte29jr,2024lhc,---
ANT2021r2ssc,2019pdz,---
ANT2024ht4872poxde2,2020ipi,---
ANT2020atngu,2019ald,---
ANT2024wxoo6yd1lwgm,2024jsj,---
ANT2024ddolw7ghd1dg,2024kzv,---
ANT202488hhv1fsbiuw,2024ixe,---
ANT2024bfxcur9k9sk3,2024npl,---
ANT2024pzwk8sw72swy,2024ney,---
ANT2024exvwfgxjd0m9,2024mvs,---
ANT2024fuxlzdgvtjte,2024myj,---
ANT2024dz9g18xaxdme,2024lul,---
ANT2024mgcns300taqr,2024myc,---
ANT2024g2cfhdf78p4l,2024lcs,---
ANT2024czw3capa9gng,2024lte,---
ANT2024md93eeenx3dx,2024kwc,---
ANT20240s52efz70t9g,2024oqc,---
ANT2024rhlvuyh7pfbe,2024ngi,---
ANT2024igisbdy476if,2024lfu,---
ANT2024knlwm23hnb33,2024ntf,---
ANT20247fphdma2pkb4,2024mxp,---
ANT2024wf6p5innheew,2024mbb,---
ANT2024x8whlgaauuir,2024jll,---
ANT2024ygywihig1v4l,2024myl,---
ANT2024t0nu2pas8qfz,2024pcm,---
ANT20243q88ttd712yi,2024ndu,---
ANT2024bic9ac86ygxz,2024pbg,---
ANT202458vnauirobzu,2024mym,---
ANT2024yjhqnq2q1gyp,2024kzz,---
ANT20247s5kj717euue,2024ngo,---
ANT2024as49zvaja675,2024lnn,---
ANT2024ew1yzx8er897,2024ngs,---
ANT2024mballl35h17n,2024liw,---
ANT2024o1y5hrlxt6yx,2024lcm,---
ANT2024epqtnd3oo3rg,2024iux,---
ANT20246zczfxuukwhy,2024mbc,---
ANT202480i1o8p3jwei,2024nuu,---
ANT20248c989ksw6iac,2024oxs,---
ANT2024glev6hmnnqk5,2024qak,---
ANT2024d04djawlcrvj,2024qfx,---
ANT20242tn8m366habf,2024rqx,---
ANT2024651qed6io3o4,2024rnu,---
ANT20245ni059vkh4b2,2024slh,---
ANT2024ldrlile6xb43,2024rmd,---
ANT2022eogz88j4zp3u,2022aeqr,---
ANT2024rttztve4fjo5,2024ufl,---
ANT2022aj204els3zw2,2022lzs,---
ANT2018g55km,2018eez,---
ANT2024exr6qju3cwpp,2024tue,---
ANT2024i47m7tk95750,2024vft,---
ANT2024lc25cck7yh8o,2024vff,---
ANT2024c8egngm966ci,2024qpn,---
ANT2024v28py0h31h4f,2024twk,---
ANT2024kbm0ktozg9bb,2024uge,---
ANT2024jno99co7c3su,2024szm,---
ANT20240hxvap0mnqzz,2024ulk,---
ANT20243rpox4qr2g99,2024uzy,---
ANT202418qhmbzivu0p,2024uup,---
ANT2024sexcxkcrpsa6,2024uxy,---
ANT2023kes6dq7iwer7,2024ezz,---
ANT20243c2v8803yqyq,2024vgd,---
ANT2024gjelk9a70usk,2024txp,---
ANT2024durdisj86uar,2024tuu,---
ANT2024vouv7dq72syc,2024ucg,---
ANT2024w6nn168caegw,2024svw,---
ANT2024gta8dgz5n937,2024twi,---
ANT20241r3rj2jxput2,2024uof,---
ANT2024dta7iimfxo2r,2024twl,---
ANT2024r38jg2xxrl3v,2024tup,---
ANT2020a4jns,2019gul,---
ANT2024jbxezm47qb1i,2024ugv,---
ANT20243i93gnwdtf67,2024ufj,---
ANT2020fasfc,2020ohk,---
ANT2022l6qcj1ui61x9,2023xwo,---
ANT2020kbasg,2019lij,---
ANT2024x5pff12c6a18,2024pmp,---
ANT2024s31jrmiwtkhz,2024rsx,---
ANT2024lowezjlb8qu9,2024ufg,---
ANT2024y8wz4yi4issu,2024uhk,---
ANT2024bhm9tn6bjpz7,2024qfy,---
ANT20243sm20bj81p2h,2024tyk,---
ANT2024xegkaagyhusw,2024swc,---
ANT2024c8w5gd8jc3rw,2024qyz,---
ANT2024llqzqywpw5ed,2024snl,---
ANT2024k954gu8pxqhu,2024umb,---
ANT2024fthkg9rzlpyo,2024srm,---
ANT202486u9wj0gsyuq,2024jvz,---
ANT2024ohs0rfp7fza8,2024sbm,---
ANT2024o1ojonq25phb,2024opz,---
ANT2024kbv56za2x5n0,2024sut,---
ANT2024oruovbviewx0,2024lwf,---
ANT2024vh1qlt2nvi62,2024uil,---
ANT2024khfp628p9ohj,2024sit,---
ANT20249doiao24ophi,2024syl,---
ANT2020dq6tq,2020nnb,---
ANT2024mtjoxz1ejxug,2024smi,---
ANT2024xjzyhk5xxydk,2024sph,---
ANT2020lgya,2021vtp,---
ANT20241w65hirfspfp,2024sll,---
ANT2024dfjzpw10j1xc,2024jci,---
ANT2023w926ux8ekm12,2023zro,---
ANT20244ebya0c8isid,2024vdo,---
ANT2020aftik,No TNS,---
