ANTID,TNS_Name,Spec_Class
ANT20220dwjx039h87j,2022gzi,SN IIn
ANT20231cmvku2jk9km,2023nwe,SN IIn
ANT2023y21nst8gdfc7,2023ofr,---
ANT2023bqv4h7binyq4,2023oom,Nova
ANT2023amn3rvksixa0,2023syt,---
ANT2023cyi2godtxc71,2023nof,SN IIn
ANT2023s3t38221rbvu,2023tnr,---
ANT20238op8zb9u71zv,2023myo,SN IIb
ANT2023e1lh9q8uxs5f,2023kvy,TDE
ANT2023byuqr59hijb2,2023sed,SN Ia
ANT20237t0muacesncb,2023otw,SN II
ANT2023z76ezy3vpy8s,2023iex,SN IIn
ANT2023daxrlgp15b5l,2023tdy,---
ANT2023t7ysju3gaa9q,2023swf,SN II
ANT20237mh30j6oqsed,2023tim,---
ANT2023txj5k3uoboi5,2023tjc,---
ANT2023ta2iok62g5a1,2023mne,---
ANT2023h83zxabii7n5,2023tcq,---
ANT2023cono5416eok0,2023sws,---
ANT2023kegapcztaz9y,2023gzn,---
ANT2023z0zr3w2y9pd6,2023nlj,SN Ib
ANT2023c2iwlmhru786,2023she,---
ANT2023hetwfp10g9rj,2023mcs,SN Ia
ANT2023ricgc0121bqc,2023koq,SLSN-II
ANT2023g4d408sosxuu,2023pdf,---
ANT20237q5l6jfknzm9,2023tsa,---
ANT20233ftyq1igcyyq,2023sap,---
ANT20232chi4nt189lp,2023nwk,---
ANT2023xntoizusku8l,2023tsw,SN Ia
ANT2023l2dqxytm4lyh,2023puf,---
ANT2023q8o3r5pqxlrm,2023sds,---
ANT20236lnkr6zif1pv,2023mic,---
ANT2023k4niot9ojjs2,2023ocx,SN Ia-CSM
ANT2023lihtiuw98ua5,2023tpk,---
ANT2023xqpj3in34s43,2023vqn,SN Ia
ANT2023dy5xtvp852rf,2023hlu,SN Ib
ANT20239bssj0updb1s,2023vyw,SN Ia
ANT20231czpk0thmfdt,2023vtp,SN Ia-91T-like
ANT2023808cm5ckbg5a,2023psx,---
ANT2023g7q1x5umog7s,2023omf,SN IIn
ANT2023w3kmh4qy4er7,2023tmd,---
ANT2023oftqku6mmrpi,2023qwe,SN II
ANT2023oelv52jpvw05,2023znp,---
ANT2023ksdq0940dttt,2023uvh,SN IIb
ANT2023i70dcomegjvk,2023aagw,---
ANT20237jd1js3dn3av,2023xob,SN IIn
ANT2023jv3c7jtdg329,2023jux,SN IIn
ANT2024lxtae7968qun,2024kt,TDE
ANT2023jpayer2ifkpz,2023nly,SN II
ANT20230itiqze3vxqu,2023adpb,---
ANT2023udqfunzuzaw0,2023frl,---
ANT2023osx91c72xdnb,2023aaao,---
ANT2023d9pilqpv7xji,2023zfh,---
ANT2023f7sqf2fm2zyo,2023zgo,AGN
ANT2023ssjbjrjmdp2t,2023aclf,---
ANT2023b8sh5joub4xb,2023jpg,SN II
ANT2023l39ve8eqe0iz,2023ytn,SN Ia
ANT2023rz0dsqlkc5we,2023jvc,SN II
ANT2023yck15evj57ij,2023vbg,SN IIn
ANT20235yn0yg524chk,2023zkd,---
ANT20234hadr3mv1nfu,2023ggb,SN Ia-CSM
ANT2023jojy43u3lkrf,2023nie,---
ANT2021aeg2jna,2020afcq,---
ANT2020aq4p2,2021chn,---
ANT2023ec9859oz0v6j,2023khp,SN Ia-CSM
ANT2020f7tje,2020ljb,---
ANT20203eszi,2021wtw,---
ANT2020alezc,2021klc,---
ANT2021da5ds,2021iis,---
ANT2024tkgjso9edlbh,2024geb,---
ANT20244tv2f5vzqhrs,2024ehz,---
ANT2021ozrou,2021ahpn,---
ANT2018d77b6,2019cze,---
ANT2020a7jli,2022dum,---
ANT2020auuf6,2022pwi,---
ANT2020akilu,2020kem,---
ANT2020atbt2,2022dvf,---
ANT2019mx4nk,2023skd,---
ANT2020aknci,2018lmi,---
ANT2020akloi,2019kil,---
ANT2020bcigs,2022aax,---
ANT2020a6enu,2021ghb,---
ANT2020xi,2018lvp,---
ANT2020ajoc4,2018llu,---
ANT2020ajrys,2021pik,---
ANT20247oxgwqofo0ua,2024qs,---
ANT2020gkj76,2024agt,---
ANT2021jih4y,2022dpj,---
